run,repeat,task,success_rate,length,total_transitions,status
8ts3v_005000,1,close_fridge,50.0,6.0,60,ok
8ts3v_005000,1,close_microwave,30.0,4.0,40,ok
8ts3v_005000,1,close_laptop_lid,10.0,18.5,185,ok
8ts3v_005000,1,toilet_seat_down,100.0,6.2,62,ok
8ts3v_005000,1,open_grill,0.0,12.9,129,ok
8ts3v_005000,1,phone_on_base,0.0,24.9,249,ok
8ts3v_005000,1,take_usb_out_of_computer,100.0,4.5,45,ok
8ts3v_005000,1,take_lid_off_saucepan,40.0,16.6,166,ok
8ts3v_005000,1,turn_oven_on,0.0,7.7,77,ok
8ts3v_005000,1,beat_the_buzz,10.0,11.1,111,ok
8ts3v_005000,1,water_plants,0.0,21.4,214,ok
8ts3v_005000,1,unplug_charger,0.0,18.5,185,ok
8ts3v_010000,1,close_fridge,30.0,3.9,39,ok
8ts3v_010000,1,close_microwave,40.0,8.8,88,ok
8ts3v_010000,1,close_laptop_lid,20.0,21.4,214,ok
8ts3v_010000,1,toilet_seat_down,70.0,9.9,99,ok
8ts3v_010000,1,open_grill,0.0,18.7,187,ok
8ts3v_010000,1,phone_on_base,0.0,24.3,243,ok
8ts3v_010000,1,take_usb_out_of_computer,100.0,5.8,58,ok
8ts3v_010000,1,take_lid_off_saucepan,100.0,3.1,31,ok
8ts3v_010000,1,turn_oven_on,0.0,4.2,42,ok
8ts3v_010000,1,beat_the_buzz,10.0,9.0,90,ok
8ts3v_010000,1,water_plants,0.0,25.0,250,ok
8ts3v_010000,1,unplug_charger,0.0,21.8,218,ok
8ts3v_015000,1,close_fridge,0.0,1.0,10,ok
8ts3v_015000,1,close_microwave,10.0,1.2,12,ok
8ts3v_015000,1,close_laptop_lid,10.0,2.4,24,ok
8ts3v_015000,1,toilet_seat_down,10.0,5.8,58,ok
8ts3v_015000,1,open_grill,0.0,7.2,72,ok
8ts3v_015000,1,phone_on_base,0.0,2.5,25,ok
8ts3v_015000,1,take_usb_out_of_computer,40.0,2.0,20,ok
8ts3v_015000,1,take_lid_off_saucepan,0.0,6.6,66,ok
8ts3v_015000,1,turn_oven_on,10.0,9.8,98,ok
8ts3v_015000,1,beat_the_buzz,0.0,2.4,24,ok
8ts3v_015000,1,water_plants,0.0,1.4,14,ok
8ts3v_015000,1,unplug_charger,0.0,1.7,17,ok
8ts3v_020000,1,close_fridge,60.0,9.5,95,ok
8ts3v_020000,1,close_microwave,70.0,10.2,102,ok
8ts3v_020000,1,close_laptop_lid,60.0,13.2,132,ok
8ts3v_020000,1,toilet_seat_down,80.0,8.0,80,ok
8ts3v_020000,1,open_grill,0.0,20.6,206,ok
8ts3v_020000,1,phone_on_base,0.0,25.0,250,ok
8ts3v_020000,1,take_usb_out_of_computer,100.0,4.0,40,ok
8ts3v_020000,1,take_lid_off_saucepan,100.0,5.0,50,ok
8ts3v_020000,1,turn_oven_on,10.0,15.4,154,ok
8ts3v_020000,1,beat_the_buzz,0.0,13.2,132,ok
8ts3v_020000,1,water_plants,0.0,22.9,229,ok
8ts3v_020000,1,unplug_charger,0.0,22.7,227,ok
8ts3v_005000,2,close_fridge,50.0,4.3,43,ok
8ts3v_005000,2,close_microwave,30.0,7.0,70,ok
8ts3v_005000,2,close_laptop_lid,10.0,19.8,198,ok
8ts3v_005000,2,toilet_seat_down,80.0,11.6,116,ok
8ts3v_005000,2,open_grill,0.0,10.9,109,ok
8ts3v_005000,2,phone_on_base,0.0,21.7,217,ok
8ts3v_005000,2,take_usb_out_of_computer,100.0,4.7,47,ok
8ts3v_005000,2,take_lid_off_saucepan,30.0,18.2,182,ok
8ts3v_005000,2,turn_oven_on,30.0,5.8,58,ok
8ts3v_005000,2,beat_the_buzz,0.0,18.2,182,ok
8ts3v_005000,2,water_plants,0.0,24.5,245,ok
8ts3v_005000,2,unplug_charger,0.0,18.4,184,ok
8ts3v_010000,2,close_fridge,30.0,1.4,14,ok
8ts3v_010000,2,close_microwave,40.0,9.7,97,ok
8ts3v_010000,2,close_laptop_lid,30.0,19.5,195,ok
8ts3v_010000,2,toilet_seat_down,80.0,11.0,110,ok
8ts3v_010000,2,open_grill,10.0,14.2,142,ok
8ts3v_010000,2,phone_on_base,0.0,25.0,250,ok
8ts3v_010000,2,take_usb_out_of_computer,100.0,4.7,47,ok
8ts3v_010000,2,take_lid_off_saucepan,100.0,3.2,32,ok
8ts3v_010000,2,turn_oven_on,10.0,5.1,51,ok
8ts3v_010000,2,beat_the_buzz,10.0,10.9,109,ok
8ts3v_010000,2,water_plants,10.0,18.8,188,ok
8ts3v_010000,2,unplug_charger,0.0,16.4,164,ok
8ts3v_015000,2,close_fridge,0.0,1.0,10,ok
8ts3v_015000,2,close_microwave,10.0,1.1,11,ok
8ts3v_015000,2,close_laptop_lid,20.0,2.4,24,ok
8ts3v_015000,2,toilet_seat_down,10.0,5.9,59,ok
8ts3v_015000,2,open_grill,0.0,5.7,57,ok
