run,task,repeats,errors,mean_success_rate,std_success_rate,mean_length,std_length
8ts3v_005000,beat_the_buzz,3,0,6.67,4.71,14.37,2.93
8ts3v_005000,close_fridge,3,0,43.33,9.43,5.13,0.69
8ts3v_005000,close_laptop_lid,3,0,10.00,0.00,19.03,0.56
8ts3v_005000,close_microwave,3,0,26.67,4.71,5.40,1.23
8ts3v_005000,open_grill,3,0,0.00,0.00,12.13,0.88
8ts3v_005000,phone_on_base,3,0,0.00,0.00,22.90,1.42
8ts3v_005000,take_lid_off_saucepan,3,0,40.00,8.16,16.27,1.73
8ts3v_005000,take_usb_out_of_computer,3,0,96.67,4.71,4.30,0.43
8ts3v_005000,toilet_seat_down,3,0,86.67,9.43,8.23,2.40
8ts3v_005000,turn_oven_on,3,0,20.00,14.14,5.53,1.89
8ts3v_005000,unplug_charger,3,0,3.33,4.71,17.60,1.20
8ts3v_005000,water_plants,3,0,0.00,0.00,23.30,1.36
8ts3v_010000,beat_the_buzz,3,0,6.67,4.71,11.93,2.91
8ts3v_010000,close_fridge,3,0,33.33,4.71,2.17,1.23
8ts3v_010000,close_laptop_lid,3,0,30.00,8.16,19.50,1.55
8ts3v_010000,close_microwave,3,0,40.00,0.00,9.57,0.58
8ts3v_010000,open_grill,3,0,6.67,4.71,15.47,2.30
8ts3v_010000,phone_on_base,3,0,0.00,0.00,24.53,0.33
8ts3v_010000,take_lid_off_saucepan,3,0,100.00,0.00,3.23,0.12
8ts3v_010000,take_usb_out_of_computer,3,0,100.00,0.00,4.50,1.15
8ts3v_010000,toilet_seat_down,3,0,76.67,4.71,10.73,0.60
8ts3v_010000,turn_oven_on,3,0,6.67,4.71,6.73,2.97
8ts3v_010000,unplug_charger,3,0,0.00,0.00,19.47,2.26
8ts3v_010000,water_plants,3,0,3.33,4.71,22.10,2.55
8ts3v_015000,beat_the_buzz,3,0,3.33,4.71,2.93,0.62
8ts3v_015000,close_fridge,3,0,0.00,0.00,1.00,0.00
8ts3v_015000,close_laptop_lid,3,0,20.00,8.16,2.40,0.00
8ts3v_015000,close_microwave,3,0,10.00,0.00,1.10,0.08
8ts3v_015000,open_grill,3,0,0.00,0.00,6.57,0.63
8ts3v_015000,phone_on_base,3,0,0.00,0.00,2.47,0.21
8ts3v_015000,take_lid_off_saucepan,3,0,0.00,0.00,7.40,0.70
8ts3v_015000,take_usb_out_of_computer,3,0,50.00,8.16,1.80,0.16
8ts3v_015000,toilet_seat_down,3,0,16.67,9.43,5.97,0.17
8ts3v_015000,turn_oven_on,3,0,10.00,0.00,9.07,1.04
8ts3v_015000,unplug_charger,3,0,0.00,0.00,1.83,0.09
8ts3v_015000,water_plants,3,0,0.00,0.00,1.33,0.05
8ts3v_020000,beat_the_buzz,3,0,0.00,0.00,17.30,3.02
8ts3v_020000,close_fridge,3,0,56.67,4.71,9.70,2.05
8ts3v_020000,close_laptop_lid,3,0,46.67,12.47,15.47,2.17
8ts3v_020000,close_microwave,3,0,70.00,0.00,10.93,0.54
8ts3v_020000,open_grill,3,0,0.00,0.00,19.13,2.07
8ts3v_020000,phone_on_base,3,0,0.00,0.00,24.37,0.90
8ts3v_020000,take_lid_off_saucepan,3,0,100.00,0.00,5.73,1.11
8ts3v_020000,take_usb_out_of_computer,3,0,96.67,4.71,4.03,0.61
8ts3v_020000,toilet_seat_down,3,0,70.00,8.16,9.67,1.25
8ts3v_020000,turn_oven_on,3,0,13.33,4.71,16.27,0.63
8ts3v_020000,unplug_charger,3,0,3.33,4.71,21.33,1.93
8ts3v_020000,water_plants,3,0,3.33,4.71,22.33,0.54
