run_name	backbone	rho	epsilon	lr	max_forward_step	lambda_q	lambda_sa	lambda_mv	upstream_site	upstream_reused	lite_site
hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000	vit_imagenet	0.25	0.05	0.000075	1	0.1	1	0.5	rtx5090	false	rtx5090
linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000	vit_imagenet	0.5	0.05	0.000075	1	0.1	1	0.5	existing_rtx5090	true	rtx5090
linux_method3_resnet_bn_affine_symmetric_two_branch_single_8ts1v_b20_seed1_i40000	r3m_bn_bi	0.5	0.05	0.0001	1	0.1	1	0.5	existing_rtx5090	true	rtx5090
hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000	r3m_bn_bi	0.25	0.05	0.0001	1	0.1	1	0.5	rtx5090	false	rtx5090
hpsA_h200_vit_imagenet_rho0p5_eps0p05_lr7p5e5_i40000	vit_imagenet	0.5	0.05	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho1p0_eps0p05_lr7p5e5_i40000	vit_imagenet	1.0	0.05	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho0p5_eps0p025_lr7p5e5_i40000	vit_imagenet	0.5	0.025	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho0p5_eps0p1_lr7p5e5_i40000	vit_imagenet	0.5	0.1	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho0p25_eps0p025_lr7p5e5_i40000	vit_imagenet	0.25	0.025	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho0p25_eps0p1_lr7p5e5_i40000	vit_imagenet	0.25	0.1	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho1p0_eps0p025_lr7p5e5_i40000	vit_imagenet	1.0	0.025	0.000075	1	0.1	1	0.5	prd03_h200_vit	false	rtx5090
hpsA_h200_vit_imagenet_rho1p0_eps0p1_lr7p5e5_i40000	vit_imagenet	1.0	0.1	0.000075	1	0.1	1	0.5	prd02_a100_vit	false	rtx5090
hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000	r3m_bn_bi	0.5	0.05	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000	r3m_bn_bi	0.25	0.05	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000	r3m_bn_bi	1.0	0.05	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000	r3m_bn_bi	0.5	0.025	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000	r3m_bn_bi	0.5	0.1	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000	r3m_bn_bi	0.25	0.025	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000	r3m_bn_bi	0.25	0.1	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho1p0_eps0p025_lr1e4_i40000	r3m_bn_bi	1.0	0.025	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA_h200_r3m_bn_bi_rho1p0_eps0p1_lr1e4_i40000	r3m_bn_bi	1.0	0.1	0.0001	1	0.1	1	0.5	prd03_h200_r3m	false	rtx5090
hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr3p75em5_i40000	vit_imagenet	0.5	0.05	0.0000375	1	0.1	1	0.5	rtx5090	false	rtx5090
hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr7p5em5_i40000	vit_imagenet	0.5	0.05	0.000075	1	0.1	1	0.5	rtx5090	false	rtx5090
hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr1p5em4_i40000	vit_imagenet	0.5	0.05	0.00015	1	0.1	1	0.5	rtx5090	false	rtx5090
hpsA2_r3m_bn_b20_rho0p25_eps0p025_lr5em5_i40000	r3m_bn_bi	0.25	0.025	0.00005	1	0.1	1	0.5	rtx5090	false	rtx5090
hpsA2_r3m_bn_b20_rho0p25_eps0p025_lr2em4_i40000	r3m_bn_bi	0.25	0.025	0.0002	1	0.1	1	0.5	rtx5090	false	rtx5090
