run_name,backbone,repeats,tasks_per_repeat,episodes_per_task,overall_mean,overall_std,level1_mean,level1_std,level2_mean,level2_std,raw_csv
hpsA2_r3m_bn_b20_rho0p25_eps0p025_lr2em4_i40000,r3m_bn_bi,3,12,10,36.388889,2.187224,38.333333,3.600411,34.444444,2.832789,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA2_r3m_bn_b20_rho0p25_eps0p025_lr2em4_i40000/eval_raw.csv
hpsA2_r3m_bn_b20_rho0p25_eps0p025_lr5em5_i40000,r3m_bn_bi,3,12,10,28.611111,1.416394,30.555556,2.832789,26.666667,0.000000,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA2_r3m_bn_b20_rho0p25_eps0p025_lr5em5_i40000/eval_raw.csv
hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr1p5em4_i40000,vit_imagenet,3,12,10,35.555556,1.964186,33.888889,3.424674,37.222222,1.571348,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr1p5em4_i40000/eval_raw.csv
hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr3p75em5_i40000,vit_imagenet,3,12,10,31.666667,2.041241,32.777778,2.832789,30.555556,4.374449,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr3p75em5_i40000/eval_raw.csv
hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr7p5em5_i40000,vit_imagenet,3,12,10,35.833333,3.118048,37.222222,3.928371,34.444444,2.832789,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA2_vit_imagenet_b20_rho0p5_eps0p05_lr7p5em5_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000,r3m_bn_bi,3,12,10,29.166667,1.360828,33.333333,3.600411,25.000000,1.360828,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000,r3m_bn_bi,3,12,10,32.777778,3.068156,30.555556,4.779070,35.000000,1.360828,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000,r3m_bn_bi,3,12,10,31.111111,2.389535,31.111111,2.832789,31.111111,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000,r3m_bn_bi,3,12,10,24.444444,0.392837,29.444444,2.078699,19.444444,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho1p0_eps0p025_lr1e4_i40000,r3m_bn_bi,3,12,10,28.055556,1.712337,27.222222,3.928371,28.888889,1.571348,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho1p0_eps0p025_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000,r3m_bn_bi,3,12,10,28.333333,0.680414,32.777778,1.571348,23.888889,0.785674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho1p0_eps0p1_lr1e4_i40000,r3m_bn_bi,3,12,10,31.666667,3.402069,37.777778,6.849349,25.555556,0.785674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho1p0_eps0p1_lr1e4_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho0p25_eps0p025_lr7p5e5_i40000,vit_imagenet,3,12,10,33.333333,1.178511,32.777778,1.571348,33.888889,0.785674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho0p25_eps0p025_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho0p25_eps0p1_lr7p5e5_i40000,vit_imagenet,3,12,10,32.777778,2.749860,33.333333,4.906534,32.222222,1.571348,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho0p25_eps0p1_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho0p5_eps0p025_lr7p5e5_i40000,vit_imagenet,3,12,10,34.722222,2.187224,35.555556,4.374449,33.888889,4.374449,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho0p5_eps0p025_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho0p5_eps0p05_lr7p5e5_i40000,vit_imagenet,3,12,10,27.777778,0.392837,27.222222,1.571348,28.333333,1.360828,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho0p5_eps0p05_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho0p5_eps0p1_lr7p5e5_i40000,vit_imagenet,3,12,10,28.055556,0.392837,22.777778,2.078699,33.333333,2.721655,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho0p5_eps0p1_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho1p0_eps0p025_lr7p5e5_i40000,vit_imagenet,3,12,10,34.722222,1.416394,32.222222,2.078699,37.222222,3.424674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho1p0_eps0p025_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho1p0_eps0p05_lr7p5e5_i40000,vit_imagenet,3,12,10,35.277778,1.416394,39.444444,3.424674,31.111111,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho1p0_eps0p05_lr7p5e5_i40000/eval_raw.csv
hpsA_h200_vit_imagenet_rho1p0_eps0p1_lr7p5e5_i40000,vit_imagenet,3,12,10,30.277778,2.832789,30.000000,3.600411,30.555556,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_vit_imagenet_rho1p0_eps0p1_lr7p5e5_i40000/eval_raw.csv
hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000,r3m_bn_bi,3,12,10,36.944444,1.416394,41.111111,2.832789,32.777778,2.832789,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000/eval_raw.csv
hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000,r3m_bn_bi,3,12,10,34.166667,1.800206,37.222222,3.142697,31.111111,2.832789,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000,r3m_bn_bi,3,12,10,29.444444,0.392837,27.777778,2.832789,31.111111,3.424674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000/eval_raw.csv
hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000,vit_imagenet,3,12,10,32.777778,1.416394,27.777778,2.078699,37.777778,1.571348,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000/eval_raw.csv
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep1_lq0p05_lsa1_lmv0p5_i40000,r3m_bn_bi,3,12,10,26.388889,1.039349,28.333333,1.360828,24.444444,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep1_lq0p05_lsa1_lmv0p5_i40000/eval_raw.csv
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep1_lq0p2_lsa1_lmv0p5_i40000,r3m_bn_bi,3,12,10,34.444444,1.964186,31.111111,4.374449,37.777778,0.785674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep1_lq0p2_lsa1_lmv0p5_i40000/eval_raw.csv
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep1_lq0p05_lsa1_lmv0p5_i40000,vit_imagenet,3,12,10,38.888889,1.712337,40.000000,2.357023,37.777778,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep1_lq0p05_lsa1_lmv0p5_i40000/eval_raw.csv
linux_method3_resnet_bn_affine_symmetric_two_branch_single_8ts1v_b20_seed1_i40000,r3m_bn_bi,3,12,10,28.055556,1.571348,28.888889,3.424674,27.222222,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/resnet_25k_bn_affine_symmetric_40k_25k_3x10_fair_restart_20260802.csv
linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000,vit_imagenet,3,12,10,35.555556,1.712337,35.555556,3.142697,35.555556,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000/eval_raw.csv
