stage_label	backbone	rank	selected	run_name	overall_mean	overall_std	level1_mean	level1_std	level2_mean	level2_std	gap_to_best	within_best_pooled_se
A1	vit_imagenet	1	True	hpsA_h200_vit_imagenet_rho1p0_eps0p05_lr7p5e5_i40000	35.277778	1.416394	39.444444	3.424674	31.111111	2.078699	0.0	True
A1	vit_imagenet	2	False	hpsA_h200_vit_imagenet_rho1p0_eps0p025_lr7p5e5_i40000	34.722222	1.416394	32.222222	2.078699	37.222222	3.424674	0.5555559999999957	True
A1	vit_imagenet	3	False	hpsA_h200_vit_imagenet_rho0p5_eps0p025_lr7p5e5_i40000	34.722222	2.187224	35.555556	4.374449	33.888889	4.374449	0.5555559999999957	True
A1	vit_imagenet	4	False	hpsA_h200_vit_imagenet_rho0p25_eps0p025_lr7p5e5_i40000	33.333333	1.178511	32.777778	1.571348	33.888889	0.785674	1.9444449999999946	False
A1	vit_imagenet	5	False	hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000	32.777778	1.416394	27.777778	2.078699	37.777778	1.571348	2.5	False
A1	vit_imagenet	6	False	hpsA_h200_vit_imagenet_rho0p25_eps0p1_lr7p5e5_i40000	32.777778	2.74986	33.333333	4.906534	32.222222	1.571348	2.5	False
A1	vit_imagenet	7	False	hpsA_h200_vit_imagenet_rho1p0_eps0p1_lr7p5e5_i40000	30.277778	2.832789	30.0	3.600411	30.555556	2.078699	4.9999999999999964	False
A1	vit_imagenet	8	False	hpsA_h200_vit_imagenet_rho0p5_eps0p1_lr7p5e5_i40000	28.055556	0.392837	22.777778	2.078699	33.333333	2.721655	7.222221999999999	False
A1	vit_imagenet	9	False	hpsA_h200_vit_imagenet_rho0p5_eps0p05_lr7p5e5_i40000	27.777778	0.392837	27.222222	1.571348	28.333333	1.360828	7.4999999999999964	False
A1	r3m_bn_bi	1	True	hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000	36.944444	1.416394	41.111111	2.832789	32.777778	2.832789	0.0	True
A1	r3m_bn_bi	2	False	hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000	32.777778	3.068156	30.555556	4.77907	35.0	1.360828	4.166665999999999	False
A1	r3m_bn_bi	3	False	hpsA_h200_r3m_bn_bi_rho1p0_eps0p1_lr1e4_i40000	31.666667	3.402069	37.777778	6.849349	25.555556	0.785674	5.277776999999997	False
A1	r3m_bn_bi	4	False	hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000	31.111111	2.389535	31.111111	2.832789	31.111111	2.078699	5.833332999999996	False
A1	r3m_bn_bi	5	False	hpsA_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000	29.444444	0.392837	27.777778	2.832789	31.111111	3.424674	7.4999999999999964	False
A1	r3m_bn_bi	6	False	hpsA_h200_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000	29.166667	1.360828	33.333333	3.600411	25.0	1.360828	7.777776999999997	False
A1	r3m_bn_bi	7	False	hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000	28.333333	0.680414	32.777778	1.571348	23.888889	0.785674	8.611110999999998	False
A1	r3m_bn_bi	8	False	hpsA_h200_r3m_bn_bi_rho1p0_eps0p025_lr1e4_i40000	28.055556	1.712337	27.222222	3.928371	28.888889	1.571348	8.888887999999998	False
A1	r3m_bn_bi	9	False	hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000	24.444444	0.392837	29.444444	2.078699	19.444444	2.078699	12.499999999999996	False
