run_name	backbone	rho	epsilon	lr	max_forward_step	lambda_q	lambda_sa	lambda_mv	upstream_site	upstream_reused	lite_site
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep1_lq0p05_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	1	0.05	1	0.5	rtx5090	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep1_lq0p2_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	1	0.2	1	0.5	rtx5090	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep3_lq0p05_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	3	0.05	1	0.5	prd02_a100	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep3_lq0p1_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	3	0.1	1	0.5	prd02_a100	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep3_lq0p2_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	3	0.2	1	0.5	rtx5090	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep7_lq0p05_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	7	0.05	1	0.5	rtx5090	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep7_lq0p1_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	7	0.1	1	0.5	rtx5090	false	rtx5090
hpsB_r3m_bn_bi_rho0p25_eps0p025_lr0p0001_qstep7_lq0p2_lsa1_lmv0p5_i40000	r3m_bn_bi	0.25	0.025	0.0001	7	0.2	1	0.5	rtx5090	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep1_lq0p05_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	1	0.05	1	0.5	prd02_a100	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep1_lq0p2_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	1	0.2	1	0.5	prd02_a100	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep3_lq0p05_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	3	0.05	1	0.5	prd02_a100	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep3_lq0p1_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	3	0.1	1	0.5	prd03_h200	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep3_lq0p2_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	3	0.2	1	0.5	prd03_h200	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep7_lq0p05_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	7	0.05	1	0.5	prd03_h200	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep7_lq0p1_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	7	0.1	1	0.5	prd03_h200	false	rtx5090
hpsB_vit_imagenet_rho0p5_eps0p05_lr0p000075_qstep7_lq0p2_lsa1_lmv0p5_i40000	vit_imagenet	0.5	0.05	0.000075	7	0.2	1	0.5	prd03_h200	false	rtx5090
