model,local_pair,episode_id,progress,human_query_frame,robot_retrieved_frame,robot_retrieved_progress,correct,cosine_similarity
r3m_align_adapter,task_0004_pair_0001,495,1,5,71,2,0,0.81503177
r3m_align_adapter,task_0004_pair_0001,495,2,50,9,2,1,0.77297372
r3m_align_adapter,task_0004_pair_0001,495,3,58,9,2,0,0.77974796
r3m_align_adapter,task_0004_pair_0001,495,4,71,71,2,0,0.82281983
r3m_align_adapter,task_0004_pair_0002,496,1,31,70,3,0,0.82767487
r3m_align_adapter,task_0004_pair_0002,496,2,54,82,3,0,0.83095533
r3m_align_adapter,task_0004_pair_0002,496,3,59,63,3,1,0.84932923
r3m_align_adapter,task_0004_pair_0002,496,4,67,70,3,0,0.82513809
r3m_align_adapter,task_0004_pair_0003,497,1,7,76,3,0,0.81547451
r3m_align_adapter,task_0004_pair_0003,497,2,45,75,3,0,0.78039163
r3m_align_adapter,task_0004_pair_0003,497,3,61,67,3,1,0.82097101
r3m_align_adapter,task_0004_pair_0003,497,4,70,67,3,0,0.82178843
r3m_align_adapter,task_0004_pair_0004,498,1,12,122,3,0,0.80726838
r3m_align_adapter,task_0004_pair_0004,498,2,43,122,3,0,0.78102422
r3m_align_adapter,task_0004_pair_0004,498,3,53,122,3,1,0.85346270
r3m_align_adapter,task_0004_pair_0004,498,4,64,122,3,0,0.80844963
r3m_align_adapter,task_0004_pair_0005,499,1,9,174,3,0,0.75711465
r3m_align_adapter,task_0004_pair_0005,499,2,38,163,3,0,0.71884120
r3m_align_adapter,task_0004_pair_0005,499,3,46,174,3,1,0.75299227
r3m_align_adapter,task_0004_pair_0005,499,4,55,163,3,0,0.71428275
r3m_align_adapter,task_0004_pair_0006,500,1,16,117,3,0,0.76537907
r3m_align_adapter,task_0004_pair_0006,500,2,34,117,3,0,0.79564881
r3m_align_adapter,task_0004_pair_0006,500,3,39,117,3,1,0.77200812
r3m_align_adapter,task_0004_pair_0006,500,4,45,117,3,0,0.72437143
r3m_align_adapter,task_0004_pair_0007,501,1,13,155,4,0,0.84694552
r3m_align_adapter,task_0004_pair_0007,501,2,37,155,4,0,0.81119668
r3m_align_adapter,task_0004_pair_0007,501,3,56,155,4,0,0.87518954
r3m_align_adapter,task_0004_pair_0007,501,4,60,155,4,1,0.85357833
r3m_align_adapter,task_0004_pair_0008,502,1,13,93,3,0,0.75254047
r3m_align_adapter,task_0004_pair_0008,502,2,47,115,3,0,0.71426523
r3m_align_adapter,task_0004_pair_0008,502,3,59,115,3,1,0.78556049
r3m_align_adapter,task_0004_pair_0008,502,4,64,93,3,0,0.72687417
r3m_align_adapter,task_0004_pair_0009,503,1,31,99,3,0,0.76575053
r3m_align_adapter,task_0004_pair_0009,503,2,49,99,3,0,0.77547765
r3m_align_adapter,task_0004_pair_0009,503,3,55,99,3,1,0.80901593
r3m_align_adapter,task_0004_pair_0009,503,4,59,99,3,0,0.73893285
r3m_align_adapter,task_0004_pair_0010,504,1,26,125,3,0,0.75907230
r3m_align_adapter,task_0004_pair_0010,504,2,30,125,3,0,0.74156022
r3m_align_adapter,task_0004_pair_0010,504,3,42,125,3,1,0.77097821
r3m_align_adapter,task_0004_pair_0010,504,4,44,125,3,0,0.74575448
