local_pair,episode_id,human_sequence_id,robot_sequence_id,progress,human_query_frame,robot_b1,robot_b2,robot_b3,robot_b4
task_0004_pair_0001,495,002731,002730,1,5,2,78,137,151
task_0004_pair_0001,495,002731,002730,2,50,2,78,137,151
task_0004_pair_0001,495,002731,002730,3,58,2,78,137,151
task_0004_pair_0001,495,002731,002730,4,71,2,78,137,151
task_0004_pair_0002,496,002747,002746,1,31,1,56,111,121
task_0004_pair_0002,496,002747,002746,2,54,1,56,111,121
task_0004_pair_0002,496,002747,002746,3,59,1,56,111,121
task_0004_pair_0002,496,002747,002746,4,67,1,56,111,121
task_0004_pair_0003,497,002763,002762,1,7,3,64,139,150
task_0004_pair_0003,497,002763,002762,2,45,3,64,139,150
task_0004_pair_0003,497,002763,002762,3,61,3,64,139,150
task_0004_pair_0003,497,002763,002762,4,70,3,64,139,150
task_0004_pair_0004,498,002779,002778,1,12,2,60,136,153
task_0004_pair_0004,498,002779,002778,2,43,2,60,136,153
task_0004_pair_0004,498,002779,002778,3,53,2,60,136,153
task_0004_pair_0004,498,002779,002778,4,64,2,60,136,153
task_0004_pair_0005,499,002795,002794,1,9,2,125,188,200
task_0004_pair_0005,499,002795,002794,2,38,2,125,188,200
task_0004_pair_0005,499,002795,002794,3,46,2,125,188,200
task_0004_pair_0005,499,002795,002794,4,55,2,125,188,200
task_0004_pair_0006,500,002811,002810,1,16,4,75,134,148
task_0004_pair_0006,500,002811,002810,2,34,4,75,134,148
task_0004_pair_0006,500,002811,002810,3,39,4,75,134,148
task_0004_pair_0006,500,002811,002810,4,45,4,75,134,148
task_0004_pair_0007,501,002827,002826,1,13,3,75,135,155
task_0004_pair_0007,501,002827,002826,2,37,3,75,135,155
task_0004_pair_0007,501,002827,002826,3,56,3,75,135,155
task_0004_pair_0007,501,002827,002826,4,60,3,75,135,155
task_0004_pair_0008,502,002843,002842,1,13,3,74,129,143
task_0004_pair_0008,502,002843,002842,2,47,3,74,129,143
task_0004_pair_0008,502,002843,002842,3,59,3,74,129,143
task_0004_pair_0008,502,002843,002842,4,64,3,74,129,143
task_0004_pair_0009,503,002859,002858,1,31,2,56,116,139
task_0004_pair_0009,503,002859,002858,2,49,2,56,116,139
task_0004_pair_0009,503,002859,002858,3,55,2,56,116,139
task_0004_pair_0009,503,002859,002858,4,59,2,56,116,139
task_0004_pair_0010,504,002875,002874,1,26,3,75,133,146
task_0004_pair_0010,504,002875,002874,2,30,3,75,133,146
task_0004_pair_0010,504,002875,002874,3,42,3,75,133,146
task_0004_pair_0010,504,002875,002874,4,44,3,75,133,146
