local_pair,domain,b1_action_start,b2_lift,b3_placed,b4_leave,status
task_0004_pair_0001,human,38,58,68,84,complete
task_0004_pair_0001,robot,2,78,137,151,complete
task_0004_pair_0002,human,42,56,63,69,complete
task_0004_pair_0002,robot,1,56,111,121,complete
task_0004_pair_0003,human,39,56,65,72,complete
task_0004_pair_0003,robot,3,64,139,150,complete
task_0004_pair_0004,human,37,52,62,66,complete
task_0004_pair_0004,robot,2,60,136,153,complete
task_0004_pair_0005,human,33,46,54,58,complete
task_0004_pair_0005,robot,2,125,188,200,complete
task_0004_pair_0006,human,21,35,43,48,complete
task_0004_pair_0006,robot,4,75,134,148,complete
task_0004_pair_0007,human,31,52,59,66,complete
task_0004_pair_0007,robot,3,75,135,155,complete
task_0004_pair_0008,human,44,57,63,67,complete
task_0004_pair_0008,robot,3,74,129,143,complete
task_0004_pair_0009,human,41,53,57,62,complete
task_0004_pair_0009,robot,2,56,116,139,complete
task_0004_pair_0010,human,27,38,43,47,complete
task_0004_pair_0010,robot,3,75,133,146,complete
